x_,y_,t_,dt,id,sim
409.6165720618876,7382.2599142734125,2022-03-22T23:53:00Z,1H 0M 0S,5605,1
409.61567114316335,7382.260691874387,2022-03-23T00:53:00Z,1H 0M 0S,5605,1
409.5958036619781,7382.361078656741,2022-03-23T01:53:00Z,1H 0M 0S,5605,1
409.61015491692643,7382.614046962283,2022-03-23T02:53:00Z,1H 0M 0S,5605,1
408.4865427567546,7385.048797047564,2022-03-23T03:53:00Z,1H 0M 0S,5605,1
408.1515445261414,7386.036794688216,2022-03-23T04:53:00Z,1H 0M 0S,5605,1
408.0351747946835,7386.512527202299,2022-03-23T05:53:00Z,1H 0M 0S,5605,1
408.13018506406615,7386.81765174885,2022-03-23T06:53:00Z,1H 0M 0S,5605,1
408.2654346195221,7387.23653463421,2022-03-23T07:53:00Z,1H 0M 0S,5605,1
407.7726534911645,7387.707494579092,2022-03-23T08:53:00Z,1H 0M 0S,5605,1
407.88393613011795,7387.936060175968,2022-03-23T09:53:00Z,1H 0M 0S,5605,1
408.5146503081512,7389.058502559098,2022-03-23T10:53:00Z,1H 0M 0S,5605,1
408.50398795976935,7389.228423141957,2022-03-23T11:53:00Z,1H 0M 0S,5605,1
408.4585914125529,7389.099630529192,2022-03-23T12:53:00Z,1H 0M 0S,5605,1
408.4137499362094,7389.038767848885,2022-03-23T13:53:00Z,1H 0M 0S,5605,1
408.4049800810799,7388.893564095681,2022-03-23T14:53:00Z,1H 0M 0S,5605,1
408.40629658466,7388.901283874945,2022-03-23T15:53:00Z,1H 0M 0S,5605,1
408.9200602200442,7389.401575359411,2022-03-23T16:53:00Z,1H 0M 0S,5605,1
409.1959415183048,7389.454290695857,2022-03-23T17:53:00Z,1H 0M 0S,5605,1
409.6238849716648,7389.398549004355,2022-03-23T18:53:00Z,1H 0M 0S,5605,1
409.57734446743353,7389.3224587095865,2022-03-23T19:53:00Z,1H 0M 0S,5605,1
409.52410578564314,7389.269369273227,2022-03-23T20:53:00Z,1H 0M 0S,5605,1
408.82296813270074,7389.3281941615705,2022-03-23T21:53:00Z,1H 0M 0S,5605,1
408.7016353649515,7389.408029954698,2022-03-23T22:53:00Z,1H 0M 0S,5605,1
408.50538809371926,7389.756463730674,2022-03-23T23:53:00Z,1H 0M 0S,5605,1
408.4966940448747,7389.930201680554,2022-03-24T00:53:00Z,1H 0M 0S,5605,1
408.58341825394626,7390.752727227585,2022-03-24T01:53:00Z,1H 0M 0S,5605,1
408.56954644052604,7390.904327373941,2022-03-24T02:53:00Z,1H 0M 0S,5605,1
408.5423062863309,7391.153882747841,2022-03-24T03:53:00Z,1H 0M 0S,5605,1
408.51303882179724,7391.633203462925,2022-03-24T04:53:00Z,1H 0M 0S,5605,1
407.58478399787975,7391.153000631077,2022-03-24T05:53:00Z,1H 0M 0S,5605,1
405.8971754495449,7390.832605494329,2022-03-24T06:53:00Z,1H 0M 0S,5605,1
405.5426308724471,7391.280960708497,2022-03-24T07:53:00Z,1H 0M 0S,5605,1
404.8012441469849,7391.397907915614,2022-03-24T08:53:00Z,1H 0M 0S,5605,1
404.80110886252766,7391.8893572293855,2022-03-24T09:53:00Z,1H 0M 0S,5605,1
404.56863683905203,7391.772652403507,2022-03-24T10:53:00Z,1H 0M 0S,5605,1
404.4302049632196,7391.91176698093,2022-03-24T11:53:00Z,1H 0M 0S,5605,1
