id,id_orig,date,lon,lat,x,y,x.se,y.se,gap_flag,logit_g,logit_g.se,g
6471_1,6471,2024-05-22T12:12:00Z,33.22584627685937,-23.108260085484883,523.1266138726128,7444.477905457625,0.3265316945990492,0.3049845828388973,0,1.136267342015236,0.7365446215522969,0.7853702739139741
6471_1,6471,2024-05-22T13:12:00Z,33.22444878645242,-23.109431365021273,522.9833112652572,7444.3484633734815,0.3265316669858119,0.3049845834408457,0,1.1901026552053193,0.742834071197905,0.7966158233758093
6471_1,6471,2024-05-22T14:12:00Z,33.222791554519816,-23.110322613451988,522.8134613424622,7444.250060493792,0.33238207777173184,0.3104498719892185,0,1.2552504714634685,0.7343267801770691,0.8097985097811422
6471_1,6471,2024-05-22T15:12:00Z,33.22062574728661,-23.108898327331513,522.5919240395859,7444.408068392008,0.3270743116450315,0.30549144356343555,0,1.3195397817604722,0.7146881014652435,0.8223475249050024
6471_1,6471,2024-05-22T16:12:00Z,33.20777248166109,-23.105503555702498,521.2762892135961,7444.785806643309,0.3270742341548456,0.3054914404640551,0,1.384837133934461,0.6820632192118117,0.8346246702500791
6471_1,6471,2024-05-22T17:12:00Z,33.18684571388356,-23.10052440429083,519.1340489322259,7445.339902461854,0.3323821767916566,0.31044986306812206,0,1.4209638372741489,0.6472327741919263,0.841214552773083
6471_1,6471,2024-05-22T18:12:00Z,33.17365112684895,-23.094364633035653,517.7836569838172,7446.023465727551,0.32653177020420454,0.30498458543977774,0,1.309325180193785,0.672580685749376,0.820384266826385
6471_1,6471,2024-05-22T19:12:00Z,33.1685486516274,-23.089173100210523,517.261773184271,7446.598787399657,0.32653166211777246,0.3049845806730773,0,1.257261221586827,0.7168468533430374,0.8101979317187729
6471_1,6471,2024-05-22T20:12:00Z,33.163687366387464,-23.084739422748854,516.7644574904685,7447.090167081412,0.32653166780336024,0.30498458509935045,0,1.2781138238542187,0.7493394251760156,0.8143137852938102
6471_1,6471,2024-05-22T21:12:00Z,33.15989391861461,-23.081401117331932,516.3763455279876,7447.460151570235,0.33131580565844904,0.3094536075732731,0,1.291394869992083,0.782132735849557,0.8169100837701861
6471_1,6471,2024-05-22T22:12:00Z,33.15799348903718,-23.08065416760569,516.1817924499323,7447.543051439408,0.3249084922873937,0.30346796878002114,0,1.3056232597943473,0.8114935287608603,0.8196698993166572
6471_1,6471,2024-05-22T23:12:00Z,33.155289816885755,-23.080608409721222,515.9048855539655,7447.548413674585,0.32919123954678864,0.3074685270619872,0,1.3328115557658249,0.8300244831151694,0.8248811059134914
6471_1,6471,2024-05-23T00:12:00Z,33.152946789567196,-23.080183928239713,515.6649599232866,7447.595657300121,0.31819757142398725,0.29719863192782814,0,1.3580989914187258,0.8417569709798648,0.8296544670416258
6471_1,6471,2024-05-23T01:12:00Z,33.150564956251095,-23.078694552665205,515.4211796732603,7447.760786096768,0.32919124360487406,0.30746853017286113,0,1.3828140586442572,0.8468252293616771,0.8342513776642628
6471_1,6471,2024-05-23T02:12:00Z,33.14828400751476,-23.076983725438975,515.1877518673117,7447.9504153132875,0.3296312531961433,0.30787868184145883,0,1.4056584407696702,0.8457853943888994,0.8384402818530395
6471_1,6471,2024-05-23T03:12:00Z,33.1477226534755,-23.07657835448084,515.1303013401879,7447.9953485160495,0.3106052283456067,0.29010462478362126,0,1.4266260304142955,0.8389694643550779,0.8422343419300058
6471_1,6471,2024-05-23T04:12:00Z,33.14761538051606,-23.076520400036987,515.1193205081177,7448.0017752326385,0.31847812595259917,0.2974597427586652,0,1.452643662745672,0.822640674330588,0.8468748783885438
6471_1,6471,2024-05-23T05:12:00Z,33.145661658599806,-23.074656192894448,514.9194183184007,7448.208345601007,0.31847815757265485,0.2974597434910515,0,1.4789916520653128,0.7976207928081138,0.8514985674285308
6471_1,6471,2024-05-23T06:12:00Z,33.13946885796272,-23.07229729105367,514.2853679623073,7448.470096897106,0.321837898936952,0.30059799781442414,0,1.5050150503783282,0.7633326644437474,0.8559907177681698
6471_1,6471,2024-05-23T07:12:00Z,33.13130579755746,-23.073836517728818,513.4490965965052,7448.300477329957,0.3106052433999043,0.29010462468793163,0,1.5205197219794937,0.724246550418655,0.8586320202201034
6471_1,6471,2024-05-23T08:12:00Z,33.11983915581941,-23.07613499126196,512.2744072225834,7448.047042991439,0.3250176067547361,0.3035679222869852,0,1.5275270827933036,0.6810664062561086,0.8598171833124281
6471_1,6471,2024-05-23T09:12:00Z,33.101548741603835,-23.080553908733993,510.400688257163,7447.559283331961,0.3052668230646401,0.28511661519929804,0,1.4957168851900013,0.6462078100445714,0.8543941629110926
6471_1,6471,2024-05-23T10:12:00Z,33.08537421204087,-23.08850869222285,508.74356698803035,7446.67974036574,0.31666249993690826,0.2957622328692869,0,1.3575947060175522,0.6501620713850771,0.8295599680796535
6471_1,6471,2024-05-23T11:12:00Z,33.077830786585935,-23.095641273099424,507.9705889585619,7445.890587510172,0.30797615264616074,0.287647207533613,0,1.162313761877524,0.6997389464808668,0.7908506526334973
6471_1,6471,2024-05-23T12:12:00Z,33.07465214503676,-23.095876765934428,507.6450533502489,7445.864688105237,0.30797612001484626,0.2876471105581099,0,1.0455325006373162,0.7578701855895036,0.7657049816246819
6471_1,6471,2024-05-23T13:12:00Z,33.07235848368259,-23.094943625593064,507.41021281334855,7445.968105983883,0.3105338949206425,0.2900360823318172,0,1.0071601141939184,0.7980821045925284,0.7571237003896214
6471_1,6471,2024-05-23T14:12:00Z,33.07171553946333,-23.096691861543057,507.34427402221775,7445.774606791643,0.30128875930203886,0.2813986904641394,0,0.9693386908314546,0.8306741284511286,0.7485144794292676
6471_1,6471,2024-05-23T15:12:00Z,33.07199836451216,-23.100705355235895,507.3730186611698,7445.330294160673,0.30128875280426537,0.28139868592203016,0,0.9381792623108093,0.8537506699458008,0.7413105959016391
6471_1,6471,2024-05-23T16:12:00Z,33.072639913100055,-23.1024873120299,507.43861857431847,7445.132996878414,0.3034939925949427,0.2834582924601286,0,0.8997948126014469,0.8728092729753437,0.7323005864161111
6471_1,6471,2024-05-23T17:12:00Z,33.07490579355624,-23.10295563251017,507.6706273209994,7445.081036004122,0.2917033052314853,0.2724431976735653,0,0.8683661162768807,0.8869094011074109,0.7248136658227783
6471_1,6471,2024-05-23T18:12:00Z,33.077720183823615,-23.104547248925535,507.95873751853816,7444.90469148039,0.3034939856202968,0.2834582948455066,0,0.8377185695762721,0.8949558950242853,0.7174195854245906
6471_1,6471,2024-05-23T19:12:00Z,33.08141236304831,-23.104031959350394,508.3368577094961,7444.96152864526,0.29558872906085804,0.27607191444999446,0,0.802244299736003,0.8994470918478102,0.7087484088190885
